    1-2021 NaN%
    2-2021 -0.55%
    3-2021 1.15%
    4-2021 1.05%
    5-2021 3.12%
    6-2021 0.62%
    7-2021 1.17%
2021 7.7%
    1-2020 NaN%
    2-2020 0.33%
    3-2020 -4.12%
    4-2020 -9.08%
    5-2020 7.93%
    6-2020 3.3%
    7-2020 1.54%
    8-2020 3.75%
    9-2020 3.49%
    10-2020 -2.23%
    11-2020 -1.61%
    12-2020 7.8%
2020 12.17%
    1-2019 NaN%
    2-2019 5.35%
    3-2019 1.78%
    4-2019 1.17%
    5-2019 2.16%
    6-2019 -3.11%
    7-2019 4.09%
    8-2019 0.46%
    9-2019 -0.22%
    10-2019 0.53%
    11-2019 1.42%
    12-2019 1.84%
2019 18.03%
    1-2018 NaN%
    2-2018 2.7%
    3-2018 -2.89%
    4-2018 -1.1%
    5-2018 -0.14%
    6-2018 1.28%
    7-2018 -0.33%
    8-2018 1.83%
    9-2018 1.51%
    10-2018 -0.48%
    11-2018 -4.94%
    12-2018 1.26%
2018 -6.47%
    1-2017 NaN%
    2-2017 1.43%
    3-2017 2.15%
    4-2017 0.01%
    5-2017 0.99%
    6-2017 1.03%
    7-2017 0.08%
    8-2017 1.38%
    9-2017 0.41%
    10-2017 0.83%
    11-2017 1.24%
    12-2017 1.41%
2017 12.35%
    1-2016 NaN%
    2-2016 -2.9%
    3-2016 -0.1%
    4-2016 4.38%
    5-2016 0.65%
    6-2016 0.66%
    7-2016 0.35%
    8-2016 2.61%
    9-2016 0.07%
    10-2016 -0.17%
    11-2016 -1.67%
    12-2016 0.75%
2016 5.23%
    1-2015 NaN%
    2-2015 -0.46%
    3-2015 2.92%
    4-2015 -0.85%
    5-2015 0.59%
    6-2015 0.3%
    7-2015 -1.94%
    8-2015 0.92%
    9-2015 -3.98%
    10-2015 -1.95%
    11-2015 4.45%
    12-2015 -0.07%
2015 -2.41%
    1-2014 NaN%
    2-2014 -1.53%
    3-2014 3.04%
    4-2014 -0.15%
    5-2014 0.41%
    6-2014 1.6%
    7-2014 1.07%
    8-2014 -1.32%
    9-2014 2.5%
    10-2014 -2.25%
    11-2014 1.58%
    12-2014 1.31%
2014 5.36%
    1-2013 NaN%
    2-2013 2.68%
    3-2013 0.61%
    4-2013 1.61%
    5-2013 1.53%
    6-2013 0.01%
    7-2013 -2.16%
    8-2013 3.17%
    9-2013 -1.88%
    10-2013 2.63%
    11-2013 2.68%
    12-2013 1.17%
2013 14.37%
    1-2012 NaN%
    2-2012 3.57%
    3-2012 2.55%
    4-2012 0.81%
    5-2012 -0.16%
    6-2012 -4.03%
    7-2012 2.28%
    8-2012 1.02%
    9-2012 1.46%
    10-2012 1.19%
    11-2012 -0.81%
    12-2012 0.57%
2012 8.76%
    1-2011 NaN%
    2-2011 1.06%
    3-2011 2.03%
    4-2011 -0.15%
    5-2011 2.48%
    6-2011 -0.49%
    7-2011 -1.5%
    8-2011 -0.73%
    9-2011 -3.42%
    10-2011 -5.17%
    11-2011 6.72%
    12-2011 -0.7%
2011 -0.95%
