Date, YTD, MTD, Day
01/02/2019, 0.02%, 0.02%, 0.02%
01/03/2019, -1.89%, -1.89%, -1.91%
01/04/2019, 1.21%, 1.21%, 3.17%
01/07/2019, 1.96%, 1.96%, 0.74%
01/08/2019, 2.86%, 2.86%, 0.88%
01/09/2019, 3.54%, 3.54%, 0.66%
01/10/2019, 3.98%, 3.98%, 0.43%
01/11/2019, 3.92%, 3.92%, -0.05%
01/14/2019, 3.37%, 3.37%, -0.53%
01/15/2019, 4.32%, 4.32%, 0.91%
01/16/2019, 4.61%, 4.61%, 0.27%
01/17/2019, 5.3%, 5.3%, 0.66%
01/18/2019, 6.51%, 6.51%, 1.15%
01/22/2019, 5.11%, 5.11%, -1.31%
01/23/2019, 5.3%, 5.3%, 0.19%
01/24/2019, 5.56%, 5.56%, 0.24%
01/25/2019, 6.54%, 6.54%, 0.93%
01/28/2019, 5.84%, 5.84%, -0.66%
01/29/2019, 5.79%, 5.79%, -0.04%
01/30/2019, 7.23%, 7.23%, 1.36%
01/31/2019, 8.03%, 8.03%, 0.74%
02/01/2019, 8.1%, 0.07%, 0.07%
02/04/2019, 8.74%, 0.65%, 0.58%
02/05/2019, 9.29%, 1.16%, 0.51%
02/06/2019, 9%, 0.9%, -0.26%
02/07/2019, 8.04%, 0.01%, -0.88%
02/08/2019, 8.04%, 0.01%, -0.01%
02/11/2019, 8.14%, 0.1%, 0.09%
02/12/2019, 9.42%, 1.28%, 1.18%
02/13/2019, 9.65%, 1.5%, 0.21%
02/14/2019, 9.51%, 1.37%, -0.13%
02/15/2019, 10.64%, 2.41%, 1.02%
02/19/2019, 10.89%, 2.64%, 0.23%
02/20/2019, 11.16%, 2.89%, 0.25%
02/21/2019, 10.8%, 2.55%, -0.33%
02/22/2019, 11.52%, 3.22%, 0.65%
02/25/2019, 11.7%, 3.39%, 0.16%
02/26/2019, 11.65%, 3.34%, -0.05%
02/27/2019, 11.59%, 3.29%, -0.05%
02/28/2019, 11.26%, 2.98%, -0.3%
03/01/2019, 11.91%, 0.58%, 0.58%
03/04/2019, 11.49%, 0.21%, -0.37%
03/05/2019, 11.4%, 0.13%, -0.08%
03/06/2019, 10.65%, -0.54%, -0.67%
03/07/2019, 9.77%, -1.33%, -0.8%
03/08/2019, 9.52%, -1.55%, -0.23%
03/11/2019, 10.98%, -0.25%, 1.32%
03/12/2019, 11.29%, 0.03%, 0.28%
03/13/2019, 11.97%, 0.64%, 0.61%
03/14/2019, 11.84%, 0.52%, -0.12%
03/15/2019, 12.43%, 1.05%, 0.53%
03/18/2019, 12.93%, 1.5%, 0.44%
03/19/2019, 12.88%, 1.46%, -0.04%
03/20/2019, 12.6%, 1.21%, -0.24%
03/21/2019, 13.58%, 2.08%, 0.86%
03/22/2019, 10.89%, -0.32%, -2.35%
03/25/2019, 10.83%, -0.37%, -0.05%
03/26/2019, 11.61%, 0.32%, 0.7%
03/27/2019, 11.16%, -0.08%, -0.4%
03/28/2019, 11.54%, 0.26%, 0.34%
03/29/2019, 12.2%, 0.85%, 0.59%
04/01/2019, 13.43%, 1.09%, 1.09%
04/02/2019, 13.43%, 1.09%, 0.01%
04/03/2019, 13.81%, 1.43%, 0.33%
04/04/2019, 13.98%, 1.58%, 0.14%
04/05/2019, 14.49%, 2.03%, 0.45%
04/08/2019, 14.59%, 2.12%, 0.09%
04/09/2019, 13.94%, 1.55%, -0.56%
04/10/2019, 14.45%, 1.99%, 0.44%
04/11/2019, 14.37%, 1.92%, -0.07%
04/12/2019, 15.05%, 2.53%, 0.59%
04/15/2019, 14.99%, 2.48%, -0.05%
04/16/2019, 15.06%, 2.53%, 0.06%
04/17/2019, 14.79%, 2.3%, -0.23%
04/18/2019, 14.9%, 2.4%, 0.1%
04/22/2019, 14.92%, 2.41%, 0.02%
04/23/2019, 15.83%, 3.22%, 0.79%
04/24/2019, 15.5%, 2.92%, -0.29%
04/25/2019, 15.35%, 2.79%, -0.13%
04/26/2019, 15.94%, 3.31%, 0.5%
04/29/2019, 16.11%, 3.46%, 0.15%
04/30/2019, 16.19%, 3.54%, 0.07%
05/01/2019, 15.38%, -0.69%, -0.69%
05/02/2019, 15.21%, -0.84%, -0.15%
05/03/2019, 16.35%, 0.13%, 0.98%
05/06/2019, 15.77%, -0.37%, -0.5%
05/07/2019, 13.97%, -1.9%, -1.54%
05/08/2019, 13.78%, -2.06%, -0.17%
05/09/2019, 13.38%, -2.41%, -0.36%
05/10/2019, 13.81%, -2.04%, 0.38%
05/13/2019, 11.19%, -4.28%, -2.29%
05/14/2019, 12.12%, -3.49%, 0.83%
05/15/2019, 12.71%, -2.98%, 0.53%
05/16/2019, 13.57%, -2.25%, 0.76%
05/17/2019, 12.81%, -2.9%, -0.67%
05/20/2019, 12.13%, -3.48%, -0.6%
05/21/2019, 13.05%, -2.69%, 0.81%
05/22/2019, 12.7%, -2.99%, -0.31%
05/23/2019, 11.39%, -4.11%, -1.15%
05/24/2019, 11.74%, -3.8%, 0.32%
05/28/2019, 10.96%, -4.47%, -0.69%
05/29/2019, 10.24%, -5.09%, -0.65%
05/30/2019, 10.46%, -4.89%, 0.2%
05/31/2019, 9.33%, -5.86%, -1.02%
06/03/2019, 9.29%, -0.02%, -0.02%
06/04/2019, 11.31%, 1.81%, 1.83%
06/05/2019, 11.93%, 2.37%, 0.56%
06/06/2019, 12.45%, 2.84%, 0.45%
06/07/2019, 13.54%, 3.84%, 0.97%
06/10/2019, 14.04%, 4.29%, 0.43%
06/11/2019, 14.09%, 4.34%, 0.05%
06/12/2019, 13.81%, 4.08%, -0.25%
06/13/2019, 14.27%, 4.5%, 0.4%
06/14/2019, 13.57%, 3.87%, -0.61%
06/17/2019, 13.67%, 3.95%, 0.08%
06/18/2019, 14.86%, 5.04%, 1.04%
06/19/2019, 15.32%, 5.46%, 0.4%
06/20/2019, 16.12%, 6.19%, 0.69%
06/21/2019, 15.86%, 5.95%, -0.23%
06/24/2019, 15.59%, 5.71%, -0.23%
06/25/2019, 14.63%, 4.83%, -0.83%
06/26/2019, 14.52%, 4.73%, -0.09%
06/27/2019, 15.16%, 5.31%, 0.55%
06/28/2019, 15.84%, 5.94%, 0.59%
07/01/2019, 16.6%, 0.65%, 0.65%
07/02/2019, 16.87%, 0.88%, 0.24%
07/03/2019, 17.7%, 1.59%, 0.7%
07/05/2019, 17.44%, 1.37%, -0.22%
07/08/2019, 16.79%, 0.81%, -0.55%
07/09/2019, 16.89%, 0.89%, 0.08%
07/10/2019, 17.35%, 1.28%, 0.39%
07/11/2019, 17.49%, 1.4%, 0.12%
07/12/2019, 17.99%, 1.82%, 0.42%
07/15/2019, 18%, 1.83%, 0.01%
07/16/2019, 17.64%, 1.53%, -0.3%
07/17/2019, 17.04%, 1.01%, -0.51%
07/18/2019, 17.43%, 1.35%, 0.34%
07/19/2019, 16.83%, 0.84%, -0.51%
07/22/2019, 17.07%, 1.05%, 0.21%
07/23/2019, 17.76%, 1.64%, 0.58%
07/24/2019, 18.37%, 2.15%, 0.5%
07/25/2019, 17.64%, 1.53%, -0.61%
07/26/2019, 18.39%, 2.16%, 0.62%
07/29/2019, 18.14%, 1.95%, -0.2%
07/30/2019, 17.89%, 1.73%, -0.22%
07/31/2019, 16.72%, 0.73%, -0.98%
08/01/2019, 15.8%, -0.78%, -0.78%
08/02/2019, 14.88%, -1.57%, -0.8%
08/05/2019, 11.72%, -4.24%, -2.72%
08/06/2019, 12.98%, -3.18%, 1.12%
08/07/2019, 13.13%, -3.05%, 0.14%
08/08/2019, 15.08%, -1.39%, 1.71%
08/09/2019, 14.26%, -2.1%, -0.71%
08/12/2019, 13.05%, -3.12%, -1.05%
08/13/2019, 14.38%, -2%, 1.16%
08/14/2019, 11.39%, -4.53%, -2.59%
08/15/2019, 11.63%, -4.33%, 0.21%
08/16/2019, 13.17%, -3.02%, 1.38%
08/19/2019, 14.28%, -2.09%, 0.96%
08/20/2019, 13.59%, -2.67%, -0.59%
08/21/2019, 14.46%, -1.92%, 0.77%
08/22/2019, 14.3%, -2.07%, -0.15%
08/23/2019, 11.8%, -4.17%, -2.15%
08/26/2019, 12.82%, -3.32%, 0.89%
08/27/2019, 12.48%, -3.59%, -0.28%
08/28/2019, 13.09%, -3.08%, 0.53%
08/29/2019, 14.38%, -2%, 1.12%
08/30/2019, 14.55%, -1.84%, 0.16%
09/03/2019, 13.8%, -0.64%, -0.64%
09/04/2019, 15.03%, 0.44%, 1.09%
09/05/2019, 16.36%, 1.58%, 1.14%
09/06/2019, 16.46%, 1.67%, 0.09%
09/09/2019, 16.52%, 1.72%, 0.05%
09/10/2019, 16.6%, 1.79%, 0.07%
09/11/2019, 17.53%, 2.6%, 0.79%
09/12/2019, 17.84%, 2.87%, 0.27%
09/13/2019, 17.45%, 2.54%, -0.32%
09/16/2019, 17.17%, 2.3%, -0.24%
09/17/2019, 17.45%, 2.54%, 0.24%
09/18/2019, 17.36%, 2.46%, -0.08%
09/19/2019, 17.38%, 2.48%, 0.02%
09/20/2019, 17%, 2.15%, -0.32%
09/23/2019, 16.8%, 1.97%, -0.18%
09/24/2019, 15.91%, 1.2%, -0.75%
09/25/2019, 16.42%, 1.64%, 0.43%
09/26/2019, 16.18%, 1.43%, -0.2%
09/27/2019, 15.57%, 0.91%, -0.51%
09/30/2019, 16.04%, 1.31%, 0.4%
10/01/2019, 14.73%, -1.12%, -1.12%
10/02/2019, 12.92%, -2.67%, -1.57%
10/03/2019, 13.76%, -1.95%, 0.74%
10/04/2019, 15.12%, -0.79%, 1.18%
10/07/2019, 14.69%, -1.16%, -0.37%
10/08/2019, 13.1%, -2.51%, -1.37%
10/09/2019, 14.02%, -1.72%, 0.8%
10/10/2019, 14.65%, -1.18%, 0.55%
10/11/2019, 16.01%, -0.01%, 1.19%
10/14/2019, 15.83%, -0.17%, -0.16%
10/15/2019, 16.89%, 0.74%, 0.92%
10/16/2019, 16.74%, 0.61%, -0.13%
10/17/2019, 17.13%, 0.95%, 0.33%
10/18/2019, 16.74%, 0.62%, -0.33%
10/21/2019, 17.48%, 1.25%, 0.63%
10/22/2019, 17.16%, 0.98%, -0.27%
10/23/2019, 17.45%, 1.23%, 0.24%
10/24/2019, 17.71%, 1.45%, 0.22%
10/25/2019, 18.13%, 1.81%, 0.35%
10/28/2019, 18.71%, 2.3%, 0.49%
10/29/2019, 18.7%, 2.3%, -0.01%
10/30/2019, 19.03%, 2.58%, 0.27%
10/31/2019, 18.65%, 2.25%, -0.31%
11/01/2019, 19.81%, 0.97%, 0.97%
11/04/2019, 20.26%, 1.35%, 0.37%
11/05/2019, 20.15%, 1.26%, -0.08%
11/06/2019, 20.14%, 1.25%, -0.01%
11/07/2019, 20.51%, 1.56%, 0.3%
11/08/2019, 20.71%, 1.72%, 0.15%
11/11/2019, 20.49%, 1.53%, -0.18%
11/12/2019, 20.63%, 1.65%, 0.12%
11/13/2019, 20.6%, 1.62%, -0.03%
11/14/2019, 20.67%, 1.68%, 0.06%
11/15/2019, 21.54%, 2.4%, 0.71%
11/18/2019, 21.6%, 2.46%, 0.05%
11/19/2019, 21.62%, 2.48%, 0.02%
11/20/2019, 21.22%, 2.14%, -0.33%
11/21/2019, 20.96%, 1.92%, -0.21%
11/22/2019, 21.21%, 2.13%, 0.2%
11/25/2019, 22.21%, 2.97%, 0.82%
11/26/2019, 22.44%, 3.16%, 0.18%
11/27/2019, 22.93%, 3.56%, 0.39%
11/29/2019, 22.35%, 3.07%, -0.47%
12/02/2019, 21.38%, -0.78%, -0.78%
12/03/2019, 20.76%, -1.28%, -0.5%
12/04/2019, 21.49%, -0.68%, 0.61%
12/05/2019, 21.65%, -0.56%, 0.13%
12/06/2019, 22.67%, 0.27%, 0.83%
12/09/2019, 22.31%, -0.02%, -0.29%
12/10/2019, 22.21%, -0.1%, -0.08%
12/11/2019, 22.6%, 0.22%, 0.32%
12/12/2019, 23.52%, 0.96%, 0.74%
12/13/2019, 23.67%, 1.09%, 0.13%
12/16/2019, 24.55%, 1.81%, 0.71%
12/17/2019, 24.63%, 1.87%, 0.06%
12/18/2019, 24.6%, 1.85%, -0.02%
12/19/2019, 25.07%, 2.23%, 0.37%
12/20/2019, 25.32%, 2.41%, 0.18%
12/23/2019, 24.89%, 2.07%, -0.33%
12/24/2019, 24.91%, 2.08%, 0.01%
12/26/2019, 25.46%, 2.53%, 0.44%
12/27/2019, 25.5%, 2.57%, 0.04%
12/30/2019, 24.87%, 2.06%, -0.5%
12/31/2019, 25.2%, 2.32%, 0.26%
