Date,Price
12/31/2010,$10.60
01/03/2011,$10.58
01/04/2011,$10.59
01/05/2011,$10.53
01/06/2011,$10.55
01/07/2011,$10.59
01/10/2011,$10.60
01/11/2011,$10.58
01/12/2011,$10.57
01/13/2011,$10.60
01/14/2011,$10.59
01/18/2011,$10.58
01/19/2011,$10.59
01/20/2011,$10.55
01/21/2011,$10.56
01/24/2011,$10.56
01/25/2011,$10.59
01/26/2011,$10.56
01/27/2011,$10.58
01/28/2011,$10.60
01/31/2011,$10.58
02/01/2011,$10.55
02/02/2011,$10.54
02/03/2011,$10.51
02/04/2011,$10.47
02/07/2011,$10.47
02/08/2011,$10.43
02/09/2011,$10.46
02/10/2011,$10.43
02/11/2011,$10.46
02/14/2011,$10.47
02/15/2011,$10.48
02/16/2011,$10.48
02/17/2011,$10.50
02/18/2011,$10.50
02/22/2011,$10.54
02/23/2011,$10.54
02/24/2011,$10.55
02/25/2011,$10.56
02/28/2011,$10.57
03/01/2011,$10.58
03/02/2011,$10.55
03/03/2011,$10.51
03/04/2011,$10.55
03/07/2011,$10.54
03/08/2011,$10.52
03/09/2011,$10.55
03/10/2011,$10.60
03/11/2011,$10.59
03/14/2011,$10.60
03/15/2011,$10.61
03/16/2011,$10.65
03/17/2011,$10.63
03/18/2011,$10.63
03/21/2011,$10.60
03/22/2011,$10.59
03/23/2011,$10.59
03/24/2011,$10.57
03/25/2011,$10.55
03/28/2011,$10.55
03/29/2011,$10.53
03/30/2011,$10.55
03/31/2011,$10.54
04/01/2011,$10.54
04/04/2011,$10.56
04/05/2011,$10.53
04/06/2011,$10.51
04/07/2011,$10.51
04/08/2011,$10.50
04/11/2011,$10.50
04/12/2011,$10.54
04/13/2011,$10.55
04/14/2011,$10.54
04/15/2011,$10.58
04/18/2011,$10.60
04/19/2011,$10.61
04/20/2011,$10.59
04/21/2011,$10.59
04/25/2011,$10.61
04/26/2011,$10.63
04/27/2011,$10.62
04/28/2011,$10.64
04/29/2011,$10.65
05/02/2011,$10.65
05/03/2011,$10.67
05/04/2011,$10.68
05/05/2011,$10.71
05/06/2011,$10.71
05/09/2011,$10.71
05/10/2011,$10.68
05/11/2011,$10.70
05/12/2011,$10.69
05/13/2011,$10.71
05/16/2011,$10.72
05/17/2011,$10.74
05/18/2011,$10.71
05/19/2011,$10.71
05/20/2011,$10.72
05/23/2011,$10.73
05/24/2011,$10.73
05/25/2011,$10.73
05/26/2011,$10.76
05/27/2011,$10.75
05/31/2011,$10.76
06/01/2011,$10.80
06/02/2011,$10.76
06/03/2011,$10.78
06/06/2011,$10.77
06/07/2011,$10.79
06/08/2011,$10.80
06/09/2011,$10.77
06/10/2011,$10.78
06/13/2011,$10.77
06/14/2011,$10.72
06/15/2011,$10.77
06/16/2011,$10.78
06/17/2011,$10.77
06/20/2011,$10.77
06/21/2011,$10.76
06/22/2011,$10.77
06/23/2011,$10.79
06/24/2011,$10.80
06/27/2011,$10.77
06/28/2011,$10.72
06/29/2011,$10.70
06/30/2011,$10.69
07/01/2011,$10.68
07/05/2011,$10.71
07/06/2011,$10.72
07/07/2011,$10.70
07/08/2011,$10.75
07/11/2011,$10.79
07/12/2011,$10.79
07/13/2011,$10.80
07/14/2011,$10.77
07/15/2011,$10.78
07/18/2011,$10.77
07/19/2011,$10.79
07/20/2011,$10.77
07/21/2011,$10.75
07/22/2011,$10.77
07/25/2011,$10.75
07/26/2011,$10.77
07/27/2011,$10.75
07/28/2011,$10.77
07/29/2011,$10.83
08/01/2011,$10.86
08/02/2011,$10.92
08/03/2011,$10.92
08/04/2011,$10.99
08/05/2011,$10.91
08/08/2011,$10.96
08/09/2011,$10.99
08/10/2011,$11.06
08/11/2011,$10.95
08/12/2011,$10.99
08/15/2011,$10.97
08/16/2011,$11.00
08/17/2011,$11.03
08/18/2011,$11.05
08/19/2011,$11.04
08/22/2011,$11.03
08/23/2011,$10.99
08/24/2011,$10.92
08/25/2011,$10.94
08/26/2011,$10.96
08/29/2011,$10.93
08/30/2011,$10.97
08/31/2011,$10.96
09/01/2011,$11.00
09/02/2011,$11.05
09/06/2011,$11.06
09/07/2011,$11.02
09/08/2011,$11.04
09/09/2011,$11.06
09/12/2011,$11.04
09/13/2011,$11.02
09/14/2011,$11.02
09/15/2011,$10.99
09/16/2011,$11.00
09/19/2011,$11.04
09/20/2011,$11.04
09/21/2011,$11.08
09/22/2011,$11.12
09/23/2011,$11.07
09/26/2011,$11.03
09/27/2011,$10.99
09/28/2011,$10.99
09/29/2011,$10.99
09/30/2011,$11.03
10/03/2011,$11.07
10/04/2011,$11.03
10/05/2011,$11.01
10/06/2011,$10.96
10/07/2011,$10.94
10/10/2011,$10.90
10/11/2011,$10.91
10/12/2011,$10.90
10/13/2011,$10.92
10/14/2011,$10.90
10/17/2011,$10.94
10/18/2011,$10.93
10/19/2011,$10.94
10/20/2011,$10.93
10/21/2011,$10.92
10/24/2011,$10.92
10/25/2011,$10.98
10/26/2011,$10.95
10/27/2011,$10.90
10/28/2011,$10.94
10/31/2011,$11.02
11/01/2011,$11.08
11/02/2011,$11.06
11/03/2011,$11.03
11/04/2011,$11.04
11/07/2011,$11.05
11/08/2011,$11.01
11/09/2011,$11.04
11/10/2011,$11.01
11/11/2011,$10.99
11/14/2011,$11.01
11/15/2011,$11.00
11/16/2011,$11.02
11/17/2011,$11.02
11/18/2011,$11.00
11/21/2011,$11.01
11/22/2011,$11.02
11/23/2011,$11.03
11/25/2011,$10.99
11/28/2011,$11.00
11/29/2011,$10.98
11/30/2011,$10.96
12/01/2011,$10.95
12/02/2011,$10.99
12/05/2011,$10.99
12/06/2011,$10.98
12/07/2011,$11.00
12/08/2011,$11.02
12/09/2011,$10.98
12/12/2011,$11.00
12/13/2011,$11.02
12/14/2011,$11.05
12/15/2011,$11.04
12/16/2011,$11.06
12/19/2011,$11.08
12/20/2011,$11.03
12/21/2011,$11.00
12/22/2011,$10.96
12/23/2011,$10.93
12/27/2011,$10.94
12/28/2011,$10.98
12/29/2011,$10.99
12/30/2011,$11.00
