Date,NAV
12/31/2018,$127.56
01/02/2019,$127.68
01/03/2019,$124.72
01/04/2019,$129.03
01/07/2019,$130.15
01/08/2019,$131.52
01/09/2019,$132.20
01/10/2019,$132.83
01/11/2019,$132.83
01/14/2019,$132.08
01/15/2019,$133.46
01/16/2019,$133.85
01/17/2019,$134.90
01/18/2019,$136.65
01/22/2019,$134.69
01/23/2019,$134.90
01/24/2019,$135.23
01/25/2019,$136.49
01/28/2019,$135.50
01/29/2019,$135.31
01/30/2019,$137.33
01/31/2019,$138.53
02/01/2019,$138.75
02/04/2019,$139.74
02/05/2019,$140.37
02/06/2019,$140.07
02/07/2019,$138.85
02/08/2019,$139.00
02/11/2019,$139.23
02/12/2019,$141.01
02/13/2019,$141.44
02/14/2019,$141.18
02/15/2019,$142.76
02/19/2019,$143.00
02/20/2019,$143.28
02/21/2019,$142.78
02/22/2019,$143.77
02/25/2019,$143.95
02/26/2019,$143.72
02/27/2019,$143.78
02/28/2019,$143.39
03/01/2019,$144.39
03/04/2019,$143.71
03/05/2019,$143.49
03/06/2019,$142.35
03/07/2019,$141.25
03/08/2019,$140.97
03/11/2019,$143.07
03/12/2019,$143.47
03/13/2019,$144.42
03/14/2019,$144.31
03/15/2019,$144.96
03/18/2019,$145.54
03/19/2019,$145.42
03/20/2019,$144.92
03/21/2019,$146.56
03/22/2019,$143.52
03/25/2019,$142.69
03/26/2019,$143.77
03/27/2019,$143.10
03/28/2019,$143.75
03/29/2019,$144.68
04/01/2019,$146.36
04/02/2019,$146.33
04/03/2019,$146.72
04/04/2019,$147.01
04/05/2019,$147.78
04/08/2019,$147.89
04/09/2019,$146.93
04/10/2019,$147.65
04/11/2019,$147.66
04/12/2019,$148.63
04/15/2019,$148.49
04/16/2019,$148.56
04/17/2019,$148.04
04/18/2019,$148.24
04/22/2019,$148.33
04/23/2019,$149.78
04/24/2019,$149.53
04/25/2019,$149.34
04/26/2019,$150.15
04/29/2019,$150.36
04/30/2019,$150.44
05/01/2019,$149.26
05/02/2019,$149.03
05/03/2019,$150.63
05/06/2019,$150.07
05/07/2019,$147.53
05/08/2019,$147.27
05/09/2019,$146.90
05/10/2019,$147.47
05/13/2019,$143.76
05/14/2019,$145.05
05/15/2019,$145.89
05/16/2019,$147.22
05/17/2019,$146.23
05/20/2019,$145.22
05/21/2019,$146.56
05/22/2019,$146.06
05/23/2019,$144.19
05/24/2019,$144.51
05/28/2019,$143.34
05/29/2019,$142.32
05/30/2019,$142.56
05/31/2019,$140.76
06/03/2019,$140.44
06/04/2019,$143.54
06/05/2019,$144.62
06/06/2019,$145.41
06/07/2019,$146.87
06/10/2019,$147.59
06/11/2019,$147.47
06/12/2019,$147.22
06/13/2019,$147.95
06/14/2019,$147.60
06/17/2019,$147.28
06/18/2019,$148.74
06/19/2019,$149.23
