Date,Price
12/31/2013,$28.01
01/02/2014,$27.61
01/03/2014,$27.59
01/06/2014,$27.56
01/07/2014,$27.65
01/08/2014,$27.63
01/09/2014,$27.59
01/10/2014,$27.81
01/13/2014,$27.69
01/14/2014,$27.83
01/15/2014,$27.92
01/16/2014,$27.89
01/17/2014,$27.81
01/21/2014,$27.91
01/22/2014,$27.93
01/23/2014,$27.72
01/24/2014,$27.07
01/27/2014,$26.85
01/28/2014,$27.06
01/29/2014,$26.86
01/30/2014,$26.94
01/31/2014,$26.68
02/03/2014,$26.23
02/04/2014,$26.33
02/05/2014,$26.38
02/06/2014,$26.80
02/07/2014,$27.12
02/10/2014,$27.05
02/11/2014,$27.41
02/12/2014,$27.49
02/13/2014,$27.56
02/14/2014,$27.70
02/18/2014,$27.86
02/19/2014,$27.73
02/20/2014,$27.80
02/21/2014,$27.85
02/24/2014,$28.04
02/25/2014,$27.98
02/26/2014,$27.89
02/27/2014,$28.00
02/28/2014,$28.12
03/03/2014,$27.57
03/04/2014,$28.04
03/05/2014,$28.03
03/06/2014,$28.30
03/07/2014,$28.13
03/10/2014,$27.97
03/11/2014,$27.84
03/12/2014,$27.72
03/13/2014,$27.35
03/14/2014,$27.26
03/17/2014,$27.55
03/18/2014,$27.74
03/19/2014,$27.42
03/20/2014,$27.35
03/21/2014,$27.32
03/24/2014,$27.19
03/25/2014,$27.44
03/26/2014,$27.46
03/27/2014,$27.62
03/28/2014,$27.84
03/31/2014,$28.03
04/01/2014,$28.21
04/02/2014,$28.25
04/03/2014,$28.16
04/04/2014,$28.10
04/07/2014,$28.00
04/08/2014,$28.09
04/09/2014,$28.41
04/10/2014,$27.99
04/11/2014,$27.80
04/14/2014,$27.92
04/15/2014,$27.78
04/16/2014,$28.04
04/17/2014,$28.16
04/21/2014,$28.17
04/22/2014,$28.31
04/23/2014,$28.21
04/24/2014,$28.24
04/25/2014,$28.05
04/28/2014,$28.14
04/29/2014,$28.31
04/30/2014,$28.40
05/01/2014,$28.44
05/02/2014,$28.46
05/05/2014,$28.44
05/06/2014,$28.43
05/07/2014,$28.47
05/08/2014,$28.46
05/09/2014,$28.43
05/12/2014,$28.62
05/13/2014,$28.66
05/14/2014,$28.69
05/15/2014,$28.55
05/16/2014,$28.61
05/19/2014,$28.57
05/20/2014,$28.40
05/21/2014,$28.64
05/22/2014,$28.70
05/23/2014,$28.81
05/27/2014,$28.90
05/28/2014,$28.86
05/29/2014,$28.98
05/30/2014,$28.94
06/02/2014,$29.00
06/03/2014,$28.99
06/04/2014,$28.98
06/05/2014,$29.17
06/06/2014,$29.32
06/09/2014,$29.31
06/10/2014,$29.34
06/11/2014,$29.24
06/12/2014,$29.25
06/13/2014,$29.27
06/16/2014,$29.23
06/17/2014,$29.20
06/18/2014,$29.42
06/19/2014,$29.53
06/20/2014,$29.50
06/23/2014,$29.10
06/24/2014,$28.96
06/25/2014,$28.95
06/26/2014,$29.01
06/27/2014,$29.06
06/30/2014,$29.12
07/01/2014,$29.34
07/02/2014,$29.39
07/03/2014,$29.51
07/07/2014,$29.30
07/08/2014,$29.10
07/09/2014,$29.16
07/10/2014,$28.90
07/11/2014,$28.91
07/14/2014,$29.10
07/15/2014,$29.00
07/16/2014,$29.20
07/17/2014,$28.90
07/18/2014,$29.10
07/21/2014,$29.00
07/22/2014,$29.20
07/23/2014,$29.26
07/24/2014,$29.31
07/25/2014,$29.19
07/28/2014,$29.22
07/29/2014,$29.14
07/30/2014,$29.12
07/31/2014,$28.66
08/01/2014,$28.52
08/04/2014,$28.67
08/05/2014,$28.36
08/06/2014,$28.29
08/07/2014,$28.06
08/08/2014,$28.16
08/11/2014,$28.34
08/12/2014,$28.34
08/13/2014,$28.49
08/14/2014,$28.60
08/15/2014,$28.61
08/18/2014,$28.76
08/19/2014,$28.87
08/20/2014,$28.79
08/21/2014,$28.89
08/22/2014,$28.79
08/25/2014,$28.92
08/26/2014,$28.99
08/27/2014,$29.11
08/28/2014,$28.95
08/29/2014,$28.96
09/02/2014,$28.96
09/03/2014,$29.19
09/04/2014,$29.05
09/05/2014,$29.08
09/08/2014,$28.81
09/09/2014,$28.70
09/10/2014,$28.73
09/11/2014,$28.59
09/12/2014,$28.49
09/15/2014,$28.45
09/16/2014,$28.52
09/17/2014,$28.37
09/18/2014,$28.55
09/19/2014,$28.41
09/22/2014,$28.22
09/23/2014,$27.84
09/24/2014,$27.99
09/25/2014,$27.59
09/26/2014,$27.71
09/29/2014,$27.45
09/30/2014,$27.36
10/01/2014,$27.06
10/02/2014,$26.84
10/03/2014,$26.88
10/06/2014,$27.07
10/07/2014,$26.76
10/08/2014,$27.03
10/09/2014,$26.48
10/10/2014,$26.04
10/13/2014,$26.02
10/14/2014,$26.05
10/15/2014,$25.84
10/16/2014,$25.71
10/17/2014,$26.06
10/20/2014,$26.22
10/21/2014,$26.48
10/22/2014,$26.34
10/23/2014,$26.54
10/24/2014,$26.62
10/27/2014,$26.49
10/28/2014,$26.86
10/29/2014,$26.77
10/30/2014,$26.91
10/31/2014,$27.29
11/03/2014,$27.07
11/04/2014,$26.89
11/05/2014,$26.94
11/06/2014,$26.76
11/07/2014,$26.78
11/10/2014,$26.94
11/11/2014,$27.04
11/12/2014,$26.90
11/13/2014,$26.92
11/14/2014,$27.02
11/17/2014,$26.90
11/18/2014,$27.13
11/19/2014,$27.06
11/20/2014,$27.00
11/21/2014,$27.26
11/24/2014,$27.35
11/25/2014,$27.39
11/26/2014,$27.49
11/28/2014,$27.21
12/01/2014,$27.08
12/02/2014,$27.11
12/03/2014,$27.13
12/04/2014,$27.04
12/05/2014,$27.07
12/08/2014,$26.79
12/09/2014,$26.66
12/10/2014,$26.34
12/11/2014,$26.26
12/12/2014,$25.86
12/15/2014,$25.45
12/16/2014,$25.57
12/17/2014,$25.82
12/18/2014,$26.30
12/19/2014,$26.11
12/22/2014,$26.26
12/23/2014,$26.20
12/24/2014,$26.23
12/26/2014,$26.30
12/29/2014,$26.28
12/30/2014,$26.09
12/31/2014,$26.00
