Date,Price
12/29/2006,$34.09
01/02/2007,$34.09
01/03/2007,$34.07
01/04/2007,$34.12
01/05/2007,$33.87
01/08/2007,$33.96
01/09/2007,$33.96
01/10/2007,$34.04
01/11/2007,$34.29
01/12/2007,$34.47
01/16/2007,$34.49
01/17/2007,$34.46
01/18/2007,$34.31
01/19/2007,$34.44
01/22/2007,$34.25
01/23/2007,$34.40
01/24/2007,$34.70
01/25/2007,$34.32
01/26/2007,$34.30
01/29/2007,$34.31
01/30/2007,$34.51
01/31/2007,$34.73
02/01/2007,$34.95
02/02/2007,$35.01
02/05/2007,$34.98
02/06/2007,$35.03
02/07/2007,$35.12
02/08/2007,$35.08
02/09/2007,$34.82
02/12/2007,$34.70
02/13/2007,$34.97
02/14/2007,$35.23
02/15/2007,$35.27
02/16/2007,$35.27
02/20/2007,$35.41
02/21/2007,$35.38
02/22/2007,$35.37
02/23/2007,$35.26
02/26/2007,$35.21
02/27/2007,$34.00
02/28/2007,$34.17
03/01/2007,$34.09
03/02/2007,$33.66
03/05/2007,$33.27
03/06/2007,$33.82
03/07/2007,$33.76
03/08/2007,$34.00
03/09/2007,$34.04
03/12/2007,$34.14
03/13/2007,$33.45
03/14/2007,$33.67
03/15/2007,$33.82
03/16/2007,$33.69
03/19/2007,$34.06
03/20/2007,$34.28
03/21/2007,$34.86
03/22/2007,$34.86
03/23/2007,$34.76
03/26/2007,$34.78
03/27/2007,$34.56
03/28/2007,$34.32
03/29/2007,$34.43
03/30/2007,$34.41
04/02/2007,$34.51
04/03/2007,$34.83
04/04/2007,$34.87
04/05/2007,$34.98
04/09/2007,$35.00
04/10/2007,$35.10
04/11/2007,$34.87
04/12/2007,$35.09
04/13/2007,$35.22
04/16/2007,$35.60
04/17/2007,$35.65
04/18/2007,$35.65
04/19/2007,$35.57
04/20/2007,$35.90
04/23/2007,$35.84
04/24/2007,$35.82
04/25/2007,$36.16
04/26/2007,$36.16
04/27/2007,$36.13
04/30/2007,$35.80
05/01/2007,$35.88
05/02/2007,$36.17
05/03/2007,$36.32
05/04/2007,$36.41
05/07/2007,$36.48
05/08/2007,$36.44
05/09/2007,$36.58
05/10/2007,$36.07
05/11/2007,$36.43
05/14/2007,$36.33
05/15/2007,$36.25
05/16/2007,$36.55
05/17/2007,$36.51
05/18/2007,$36.76
05/21/2007,$36.87
05/22/2007,$36.90
05/23/2007,$36.84
05/24/2007,$36.45
05/25/2007,$36.65
05/29/2007,$36.76
05/30/2007,$37.07
05/31/2007,$37.12
06/01/2007,$37.27
06/04/2007,$37.35
06/05/2007,$37.15
06/06/2007,$36.81
06/07/2007,$36.15
06/08/2007,$36.55
06/11/2007,$36.58
06/12/2007,$36.19
06/13/2007,$36.72
06/14/2007,$36.91
06/15/2007,$37.17
06/18/2007,$37.12
06/19/2007,$37.19
06/20/2007,$36.70
06/21/2007,$36.92
06/22/2007,$36.35
06/25/2007,$36.19
06/26/2007,$36.07
06/27/2007,$36.43
06/28/2007,$36.43
06/29/2007,$36.36
07/02/2007,$36.77
07/03/2007,$36.90
07/05/2007,$36.94
07/06/2007,$37.08
07/09/2007,$37.12
07/10/2007,$36.58
07/11/2007,$36.78
07/12/2007,$37.45
07/13/2007,$37.57
07/16/2007,$37.46
07/17/2007,$37.46
07/18/2007,$37.38
07/19/2007,$37.56
07/20/2007,$37.11
07/23/2007,$37.24
07/24/2007,$36.48
07/25/2007,$36.61
07/26/2007,$35.75
07/27/2007,$35.20
07/30/2007,$35.55
07/31/2007,$35.13
08/01/2007,$35.33
08/02/2007,$35.52
08/03/2007,$34.57
08/06/2007,$35.29
08/07/2007,$35.53
08/08/2007,$36.07
08/09/2007,$35.08
08/10/2007,$35.10
08/13/2007,$35.08
08/14/2007,$34.44
08/15/2007,$33.94
08/16/2007,$34.05
08/17/2007,$34.87
08/20/2007,$34.90
08/21/2007,$34.95
08/22/2007,$35.38
08/23/2007,$35.31
08/24/2007,$35.73
08/27/2007,$35.42
08/28/2007,$34.59
08/29/2007,$35.36
08/30/2007,$35.22
08/31/2007,$35.64
09/04/2007,$36.02
09/05/2007,$35.64
09/06/2007,$35.79
09/07/2007,$35.18
09/10/2007,$35.10
09/11/2007,$35.57
09/12/2007,$35.57
09/13/2007,$35.83
09/14/2007,$35.87
09/17/2007,$35.66
09/18/2007,$36.71
09/19/2007,$36.95
09/20/2007,$36.72
09/21/2007,$36.72
09/24/2007,$36.52
09/25/2007,$36.50
09/26/2007,$36.72
09/27/2007,$36.89
09/28/2007,$36.77
10/01/2007,$37.28
10/02/2007,$37.31
10/03/2007,$37.14
10/04/2007,$37.22
10/05/2007,$37.63
10/08/2007,$37.50
10/09/2007,$37.80
10/10/2007,$37.76
10/11/2007,$37.54
10/12/2007,$37.73
10/15/2007,$37.41
10/16/2007,$37.16
10/17/2007,$37.22
10/18/2007,$37.20
10/19/2007,$36.25
